N,P,K,temperature,humidity,ph,rainfall,label
22.5,13.6,5.4,17.97,90.51,6.9,116.8,orange
79.8,38.2,51.6,20.7,80.81,6.34,190.72,rice
19.7,86.7,21.5,21.66,69.88,6.72,47.09,lentil
19.0,127.0,160.0,21.53,93.21,6.25,69.04,grapes
13.8,48.7,21.8,18.84,25.19,5.77,114.16,kidneybeans
90.1,101.4,38.3,26.03,76.25,5.26,117.36,banana
108.2,44.0,22.2,30.48,67.45,5.32,96.52,maize
108.9,75.2,46.9,24.27,78.22,6.07,105.39,banana
112.3,17.2,51.6,31.84,89.96,6.16,17.93,muskmelon
23.1,123.5,196.6,27.12,87.13,5.84,84.92,grapes
18.1,29.5,25.5,30.25,44.38,5.36,107.74,mango
92.5,48.9,40.1,23.57,71.93,6.48,176.28,jute
10.8,18.5,46.1,34.71,59.96,5.82,85.1,mango
28.5,26.0,27.0,32.21,45.49,5.42,59.56,mango
114.8,79.3,67.4,28.77,76.05,6.08,101.58,banana
82.0,44.1,34.8,22.33,85.66,6.95,165.02,jute
62.0,53.5,71.0,38.76,89.13,6.62,142.37,papaya
15.4,18.0,40.4,34.81,47.6,5.6,105.02,mango
31.7,54.8,15.3,29.04,54.63,5.98,144.39,pigeonpeas
12.3,136.0,189.3,22.02,79.91,6.35,73.39,grapes
8.2,82.5,17.6,27.56,60.05,7.21,40.82,lentil
20.2,49.8,19.3,20.17,15.51,5.32,133.37,kidneybeans
103.9,95.8,48.6,28.31,75.7,5.96,110.48,banana
108.4,35.0,15.1,26.8,71.98,5.87,119.75,coffee
91.8,21.9,44.2,28.0,92.68,6.02,17.13,muskmelon
86.1,48.2,40.2,22.74,85.5,6.9,170.54,jute
22.5,34.7,22.5,13.86,18.08,5.81,85.71,kidneybeans
115.5,17.4,57.9,29.67,88.41,6.08,28.27,muskmelon
20.9,79.2,14.5,26.84,43.22,5.32,128.84,pigeonpeas
54.8,52.1,63.3,35.19,91.91,6.95,136.39,papaya
27.4,51.8,9.8,21.01,15.92,5.54,81.36,kidneybeans
26.6,22.3,40.2,27.73,96.78,6.03,226.81,coconut
14.0,21.6,26.3,34.26,62.7,5.39,95.83,mango
17.2,17.0,10.7,18.8,91.6,7.14,112.51,orange
22.9,22.0,31.6,26.47,93.45,6.14,153.67,coconut
67.4,45.1,49.0,27.88,77.7,6.41,198.19,rice
23.0,20.0,13.0,20.89,91.48,6.79,104.38,orange
17.5,19.7,37.8,16.83,86.82,6.44,90.98,pomegranate
10.4,38.9,23.5,27.61,50.56,7.26,31.48,mothbeans
24.6,13.4,14.4,15.72,96.85,6.23,102.4,orange
22.8,149.9,200.7,20.44,90.73,5.37,142.28,apple
22.5,61.1,21.5,21.37,70.43,6.38,48.61,lentil
25.4,16.3,3.2,22.33,94.71,6.66,131.16,orange
16.3,46.0,27.8,29.36,56.28,7.09,61.85,mothbeans
78.6,54.0,37.7,25.4,82.36,7.25,153.54,jute
52.7,51.0,23.1,29.08,57.75,7.74,64.26,blackgram
24.3,14.7,25.9,30.85,97.25,5.49,204.55,coconut
20.2,147.4,210.0,21.52,84.0,6.02,59.66,grapes
96.1,28.3,30.2,19.29,53.45,6.79,114.62,coffee
98.7,19.1,21.5,25.63,69.79,6.9,139.36,coffee
99.4,37.6,21.5,24.72,74.98,6.75,59.73,cotton
23.9,44.6,15.0,18.54,19.65,5.76,100.77,kidneybeans
15.4,19.0,31.1,27.72,95.03,5.85,198.94,coconut
57.8,54.6,61.3,22.87,78.18,6.3,254.48,rice
103.5,32.5,48.1,25.79,83.27,6.25,181.7,rice
20.8,48.9,19.3,28.46,70.39,7.38,48.66,blackgram
78.8,49.6,44.2,27.08,80.47,7.19,170.36,jute
33.6,41.6,19.6,27.03,36.01,5.4,174.75,pigeonpeas
38.8,84.9,19.9,28.61,61.91,7.28,73.48,blackgram
68.8,57.9,39.0,24.26,81.85,6.76,143.6,jute
24.9,118.5,204.6,20.63,91.96,5.36,111.47,apple
28.9,54.4,23.2,27.88,88.88,6.5,41.51,mungbean
26.8,115.0,200.1,27.85,81.12,6.49,71.24,grapes
22.6,39.3,12.5,27.18,88.3,6.64,50.43,mungbean
82.5,39.1,23.1,23.15,63.52,6.4,104.74,maize
83.2,11.1,16.2,25.55,85.74,6.24,34.42,watermelon
105.2,46.5,30.9,24.0,80.1,6.58,95.77,cotton
96.5,91.3,33.1,27.99,75.65,6.06,118.42,banana
23.4,62.3,20.2,27.73,65.39,6.85,79.51,lentil
85.4,40.5,37.8,21.04,82.43,6.9,232.89,rice
25.9,93.6,14.3,21.67,64.6,6.96,43.03,lentil
5.6,55.5,27.1,28.52,45.06,6.72,58.81,mothbeans
38.1,45.7,24.3,27.99,59.58,7.16,56.59,blackgram
103.9,49.9,21.1,25.19,86.37,6.23,84.8,cotton
24.2,120.6,201.9,26.66,88.2,5.78,117.65,apple
22.6,19.8,20.5,32.25,57.46,5.64,115.02,mango
13.1,57.0,15.1,30.48,43.09,5.43,165.84,pigeonpeas
